ID,X,Y,Z,Distance (m),Power (dBm),Phase
1,57.72752,-0.03745227,4.35,0.0,-61.39,0.0
2,56.72752,-0.03745227,4.35,1.0,-60.09,0.0
3,55.72752,-0.03745227,4.35,2.0,-57.27,0.0
4,54.72752,-0.03745227,4.35,3.0,-56.38,0.0
5,53.72752,-0.03745227,4.35,4.0,-57.05,0.0
6,52.72752,-0.03745227,4.35,5.0,-57.45,0.0
7,51.72752,-0.03745227,4.35,6.0,-57.85,0.0
8,50.72752,-0.03745227,4.35,7.0,-58.45,0.0
9,49.72752,-0.03745227,4.35,8.0,-59.04,0.0
10,48.72752,-0.03745227,4.35,9.0,-57.99,0.0
11,47.72752,-0.03745227,4.35,10.0,-58.79,0.0
12,46.72752,-0.03745227,4.35,11.0,-60.17,0.0
13,45.72752,-0.03745227,4.35,12.0,-60.12,0.0
14,44.72752,-0.03745227,4.35,13.0,-60.31,0.0
15,43.72752,-0.03745227,4.35,14.0,-60.51,0.0
16,42.72752,-0.03745227,4.35,15.0,-59.29,0.0
17,41.72752,-0.03745227,4.35,16.0,-62.45,0.0
18,40.72752,-0.03745227,4.35,17.0,-60.57,0.0
19,39.72752,-0.03745227,4.35,18.0,-60.86,0.0
20,38.72752,-0.03745227,4.35,19.0,-61.84,0.0
21,37.72752,-0.03745227,4.35,20.0,-63.74,0.0
22,36.72752,-0.03745227,4.35,21.0,-73.43,0.0
23,35.72752,-0.03745227,4.35,22.0,-69.05,0.0
24,34.72752,-0.03745227,4.35,23.0,-68.78,0.0
25,33.72752,-0.03745227,4.35,24.0,-68.83,0.0
26,32.72752,-0.03745227,4.35,25.0,-68.87,0.0
27,31.72752,-0.03745227,4.35,26.0,-64.77,0.0
28,30.72752,-0.03745227,4.35,27.0,-63.98,0.0
29,29.72752,-0.03745227,4.35,28.0,-64.2,0.0
30,28.72752,-0.03745227,4.35,29.0,-64.63,0.0
31,27.72752,-0.03745227,4.35,30.0,-65.06,0.0
32,26.72752,-0.03745227,4.35,31.0,-64.67,0.0
33,25.72752,-0.03745227,4.35,32.0,-65.47,0.0
34,24.72752,-0.03745227,4.35,33.0,-66.1,0.0
35,23.72752,-0.03745227,4.35,34.0,-68.04,0.0
36,22.72752,-0.03745227,4.35,35.0,-67.83,0.0
37,21.72752,-0.03745227,4.35,36.0,-69.04,0.0
38,20.72752,-0.03745227,4.35,37.0,-70.05,0.0
